datetime,consumption,visibility,windbearing,temperature,dewpoint,pressure,apparenttemperature,windspeed,humidity,lclid,cat_rain,cat_snow,cat_clear-day,cat_clear-night,cat_cloudy,cat_fog,cat_partly-cloudy-day,cat_partly-cloudy-night,cat_wind,cat_breezy,cat_breezy-and-mostly-cloudy,cat_breezy-and-overcast,cat_breezy-and-partly-cloudy,cat_clear,cat_foggy,cat_mostly-cloudy,cat_overcast,cat_partly-cloudy,cat_windy,cat_windy-and-mostly-cloudy,cat_windy-and-overcast,cat_windy-and-partly-cloudy,time_of_day,day_of_year,sin_time_of_day,cos_time_of_day,sin_day_of_year,cos_day_of_year
2012-01-04 01:00:00,0.8775,13.21,272.0,6.43,1.21,1010.21,1.79,8.86,0.69,LAX10,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,4,0.25881904510252074,0.9659258262890683,0.06861473800213404,0.9976432316860063
2012-01-04 02:00:00,0.7935,13.15,273.0,5.91,0.05,1011.78,1.33,8.09,0.66,LAX10,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063
2012-01-04 03:00:00,0.80849993,13.82,272.0,5.38,-0.06,1013.4,0.79,7.61,0.68,LAX10,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,4,0.7071067811865475,0.7071067811865476,0.06861473800213404,0.9976432316860063
2012-01-04 04:00:00,0.82350004,13.65,271.0,5.39,0.36,1015.18,0.84,7.53,0.7,LAX10,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0,4,0.8660254037844386,0.5000000000000001,0.06861473800213404,0.9976432316860063
2012-01-04 05:00:00,0.94200003,13.58,264.0,5.35,0.36,1016.27,0.88,7.24,0.7,LAX10,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,4,0.9659258262890683,0.25881904510252074,0.06861473800213404,0.9976432316860063
2012-01-04 06:00:00,0.92849994,12.62,259.0,5.28,0.41,1017.24,0.9,6.94,0.71,LAX10,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.0,4,1.0,6.123233995736766e-17,0.06861473800213404,0.9976432316860063
2012-01-04 07:00:00,0.86399996,12.84,260.0,5.27,0.94,1017.93,0.95,6.77,0.74,LAX10,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0,4,0.9659258262890683,-0.25881904510252063,0.06861473800213404,0.9976432316860063
2012-01-04 08:00:00,0.82949996,12.26,261.0,5.44,1.48,1018.59,1.01,7.19,0.76,LAX10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.0,4,0.8660254037844387,-0.4999999999999998,0.06861473800213404,0.9976432316860063
2012-01-04 09:00:00,0.813,12.26,253.0,6.04,2.06,1019.84,1.94,6.75,0.76,LAX10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.0,4,0.7071067811865476,-0.7071067811865475,0.06861473800213404,0.9976432316860063
2012-01-04 10:00:00,1.3109999,12.89,255.0,6.88,2.57,1020.27,2.84,7.26,0.74,LAX10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.0,4,0.49999999999999994,-0.8660254037844387,0.06861473800213404,0.9976432316860063
2012-01-04 11:00:00,0.738,12.65,251.0,7.49,3.03,1020.74,3.59,7.41,0.73,LAX10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.0,4,0.258819045102521,-0.9659258262890682,0.06861473800213404,0.9976432316860063
2012-01-04 12:00:00,0.393,12.92,248.0,7.99,3.24,1019.25,4.21,7.47,0.72,LAX10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.0,4,1.2246467991473532e-16,-1.0,0.06861473800213404,0.9976432316860063
2012-01-04 13:00:00,0.126,12.17,244.0,8.07,3.66,1018.34,4.22,7.81,0.74,LAX10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.0,4,-0.2588190451025208,-0.9659258262890683,0.06861473800213404,0.9976432316860063
2012-01-04 14:00:00,0.2625,12.94,241.0,8.06,4.05,1017.04,4.36,7.29,0.76,LAX10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.0,4,-0.4999999999999997,-0.8660254037844388,0.06861473800213404,0.9976432316860063
2012-01-04 15:00:00,0.1275,12.23,229.0,8.08,4.19,1016.0,4.32,7.5,0.76,LAX10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15.0,4,-0.7071067811865471,-0.7071067811865479,0.06861473800213404,0.9976432316860063
2012-01-04 16:00:00,0.0195,11.8,233.0,7.95,5.07,1014.56,3.99,8.06,0.82,LAX10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.0,4,-0.8660254037844384,-0.5000000000000004,0.06861473800213404,0.9976432316860063
2012-01-04 17:00:00,0.0195,12.57,232.0,7.66,6.31,1013.61,3.68,7.82,0.91,LAX10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17.0,4,-0.9659258262890683,-0.25881904510252063,0.06861473800213404,0.9976432316860063
2012-01-04 18:00:00,0.0195,11.47,235.0,8.21,5.97,1011.51,4.24,8.4,0.86,LAX10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.0,4,-1.0,-1.8369701987210297e-16,0.06861473800213404,0.9976432316860063
2012-01-04 19:00:00,0.123,8.8,242.0,8.16,6.41,1010.35,4.12,8.58,0.89,LAX10,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,19.0,4,-0.9659258262890684,0.2588190451025203,0.06861473800213404,0.9976432316860063
2012-01-04 20:00:00,0.096,11.67,250.0,8.3,6.87,1008.66,4.09,9.43,0.91,LAX10,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20.0,4,-0.8660254037844386,0.5000000000000001,0.06861473800213404,0.9976432316860063
2012-01-04 21:00:00,0.021000002,12.49,253.0,8.33,7.03,1007.82,4.02,9.92,0.92,LAX10,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,21.0,4,-0.7071067811865477,0.7071067811865474,0.06861473800213404,0.9976432316860063
2012-01-04 22:00:00,0.0195,13.04,254.0,8.41,6.98,1005.77,3.84,11.19,0.91,LAX10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,22.0,4,-0.5000000000000004,0.8660254037844384,0.06861473800213404,0.9976432316860063
2012-01-04 23:00:00,0.0195,13.92,256.0,9.33,6.56,1004.4,4.77,12.81,0.83,LAX10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,23.0,4,-0.25881904510252157,0.9659258262890681,0.06861473800213404,0.9976432316860063
2012-01-05 00:00:00,1.7894999,13.45,255.0,9.82,6.56,1002.53,5.35,13.38,0.8,LAX10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,5,0.0,1.0,0.08573050015569435,0.9963183634476755
2012-01-05 01:00:00,0.102,13.21,257.0,10.37,7.16,1001.72,10.37,13.25,0.8,LAX10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,5,0.25881904510252074,0.9659258262890683,0.08573050015569435,0.9963183634476755
2012-01-05 02:00:00,0.1275,12.6,260.0,10.83,7.57,1001.15,10.83,12.83,0.8,LAX10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,5,0.49999999999999994,0.8660254037844387,0.08573050015569435,0.9963183634476755
2012-01-05 03:00:00,0.12599999,12.38,263.0,11.33,7.63,1000.26,11.33,11.94,0.78,LAX10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,5,0.7071067811865475,0.7071067811865476,0.08573050015569435,0.9963183634476755
2012-01-05 04:00:00,0.0195,13.31,262.0,11.41,7.61,999.24,11.41,11.91,0.77,LAX10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,5,0.8660254037844386,0.5000000000000001,0.08573050015569435,0.9963183634476755
2012-01-05 05:00:00,0.021000002,13.21,263.0,11.46,7.63,998.1,11.46,12.0,0.77,LAX10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,5,0.9659258262890683,0.25881904510252074,0.08573050015569435,0.9963183634476755
